tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
841,02:13.8,16:15.5,3199,Newport Pkwy,40.7287448,-74.0321082,3213,Van Vorst Park,40.71848892,-74.04772663,42217,Subscriber,1980,1
206,16:11.4,19:37.4,3273,Manila & 1st,40.72165072,-74.04288411,3639,Harborside,40.7192517,-74.034234,42160,Subscriber,1990,1
859,23:22.1,37:41.5,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,42204,Customer,1991,1
693,25:14.5,36:48.0,3185,City Hall,40.7177325,-74.043845,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42165,Subscriber,1987,1
1473,32:30.5,57:04.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3639,Harborside,40.7192517,-74.034234,26156,Customer,1969,0
129,34:14.4,36:23.6,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29302,Subscriber,1992,2
394,36:33.0,43:07.4,3201,Dey St,40.737711,-74.066921,3281,Leonard Gordon Park,40.74590997,-74.05727148,42241,Subscriber,1969,1
279,52:29.4,57:08.5,3187,Warren St,40.7211236,-74.03805095,3211,Newark Ave,40.72152515,-74.04630454,42184,Subscriber,1987,1
242,11:13.0,15:15.4,3203,Hamilton Park,40.72759597,-74.04424731,3213,Van Vorst Park,40.71848892,-74.04772663,42254,Subscriber,1989,1
451,16:04.9,23:36.5,3213,Van Vorst Park,40.71848892,-74.04772663,3268,Lafayette Park,40.71346383,-74.06285852,42217,Subscriber,1999,1
468,33:52.6,41:41.2,3638,Washington St,40.7242941,-74.0354826,3184,Paulus Hook,40.7141454,-74.0335519,29259,Subscriber,1988,1
480,11:52.6,19:52.8,3213,Van Vorst Park,40.71848892,-74.04772663,3268,Lafayette Park,40.71346383,-74.06285852,42339,Subscriber,1997,2
748,19:21.8,31:50.2,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,29250,Customer,1969,0
318,21:39.2,26:57.3,3638,Washington St,40.7242941,-74.0354826,3681,Grand St,40.71517768,-74.03768331,29613,Subscriber,1994,1
573,54:44.2,04:17.4,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3280,Astor Place,40.7192822,-74.07126188,29607,Subscriber,1971,1
211,56:30.8,00:02.7,3275,Columbus Drive,40.7183552,-74.03891444,3639,Harborside,40.7192517,-74.034234,29496,Subscriber,1996,1
9583,27:35.1,07:19.0,3213,Van Vorst Park,40.71848892,-74.04772663,3276,Marin Light Rail,40.71458404,-74.04281706,42254,Subscriber,1991,1
460,54:56.7,02:36.8,3270,Jersey & 6th St,40.72528911,-74.04557168,3681,Grand St,40.71517768,-74.03768331,42261,Subscriber,1960,1
408,09:10.8,15:59.1,3681,Grand St,40.71517768,-74.03768331,3481,York St,40.71649,-74.04105,42261,Subscriber,1960,1
70,57:29.3,58:39.7,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,42184,Subscriber,1993,1
496,06:55.2,15:12.0,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,26283,Subscriber,1960,1
682,07:24.3,18:46.5,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,29510,Subscriber,1984,2
295,20:22.9,25:18.2,3278,Monmouth and 6th,40.72568548,-74.04879034,3638,Washington St,40.7242941,-74.0354826,29600,Subscriber,1986,2
683,42:30.9,53:54.3,3678,Fairmount Ave,40.72572614,-74.07195926,3481,York St,40.71649,-74.04105,42318,Customer,1969,0
206,44:14.2,47:41.0,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,42244,Subscriber,1964,1
234,58:04.0,01:58.9,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42356,Subscriber,1990,1
445,08:26.0,15:51.8,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42133,Subscriber,1982,1
199,28:19.6,31:39.2,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,42368,Subscriber,1980,1
493,30:16.3,38:29.8,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,29472,Subscriber,1997,2
540,30:49.3,39:49.8,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42145,Subscriber,1986,2
177,30:51.7,33:49.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,42196,Subscriber,1989,2
415,31:01.2,37:56.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,29250,Subscriber,1988,1
471,42:12.9,50:04.1,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,42133,Subscriber,1983,1
284,46:56.1,51:40.8,3481,York St,40.71649,-74.04105,3639,Harborside,40.7192517,-74.034234,42233,Subscriber,1985,2
465,48:41.3,56:26.7,3205,JC Medical Center,40.71653978,-74.04963791,3203,Hamilton Park,40.72759597,-74.04424731,29242,Customer,1969,0
253,56:24.3,00:37.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29484,Subscriber,1980,2
106,01:02.7,02:49.6,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42347,Subscriber,1990,1
355,01:08.7,07:04.2,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.7308971,-74.06391263,29459,Subscriber,1990,1
200,01:32.6,04:53.5,3481,York St,40.71649,-74.04105,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42318,Subscriber,1988,2
277,04:53.0,09:30.4,3638,Washington St,40.7242941,-74.0354826,3278,Monmouth and 6th,40.72568548,-74.04879034,29600,Subscriber,1986,2
1160,07:08.2,26:28.7,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3185,City Hall,40.7177325,-74.043845,29553,Customer,1991,1
583,07:54.9,17:38.0,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601173,-74.05038893,42315,Subscriber,1968,1
605,10:01.7,20:07.3,3196,Riverview Park,40.7443187,-74.0439909,3211,Newark Ave,40.72152515,-74.04630454,42262,Subscriber,1984,1
352,12:07.3,17:59.4,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42160,Subscriber,1992,1
381,14:38.1,21:00.0,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,42161,Subscriber,1988,2
428,14:39.6,21:47.9,3212,Christ Hospital,40.73478582,-74.05044364,3209,Brunswick St,40.7241765,-74.0506564,42120,Subscriber,1984,1
637,15:36.0,26:13.6,3210,Pershing Field,40.74267714,-74.05178863,3270,Jersey & 6th St,40.72528911,-74.04557168,42312,Subscriber,1981,1
136,16:53.0,19:09.9,3187,Warren St,40.7211236,-74.03805095,3639,Harborside,40.7192517,-74.034234,29494,Subscriber,1993,2
379,21:07.4,27:27.2,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,42326,Subscriber,1993,1
1266,39:03.0,00:09.2,3678,Fairmount Ave,40.72572614,-74.07195926,3678,Fairmount Ave,40.72572614,-74.07195926,42243,Subscriber,1991,1
671,40:08.0,51:19.9,3191,Union St,40.7182113,-74.0836394,3194,McGinley Square,40.72533993,-74.06762213,42354,Subscriber,1973,1
332,41:39.8,47:11.9,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,29507,Subscriber,1988,1
120,41:49.8,43:49.9,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,42174,Subscriber,1977,1
366,41:57.0,48:03.5,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.7308971,-74.06391263,42287,Subscriber,1988,1
188,42:16.3,45:25.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,42122,Subscriber,1980,1
456,42:55.3,50:32.2,3279,Dixon Mills,40.72163014,-74.04996783,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42279,Subscriber,1993,1
302,44:56.0,49:58.7,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42117,Subscriber,1991,2
292,45:37.1,50:29.3,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,26238,Subscriber,1981,1
354,46:17.7,52:11.7,3213,Van Vorst Park,40.71848892,-74.04772663,3639,Harborside,40.7192517,-74.034234,42150,Subscriber,1979,1
134,48:48.4,51:02.6,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,26175,Subscriber,1987,1
245,49:32.8,53:38.5,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42185,Subscriber,1977,1
111,53:06.3,54:57.6,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,26215,Subscriber,1993,2
1261,53:07.1,14:08.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3270,Jersey & 6th St,40.72528911,-74.04557168,26283,Customer,1969,0
303,53:09.4,58:13.1,3212,Christ Hospital,40.73478582,-74.05044364,3210,Pershing Field,40.74267714,-74.05178863,42277,Subscriber,1988,1
1242,53:14.2,13:56.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3270,Jersey & 6th St,40.72528911,-74.04557168,29451,Subscriber,1989,2
530,53:40.3,02:30.7,3195,Sip Ave,40.7308971,-74.06391263,3203,Hamilton Park,40.72759597,-74.04424731,42287,Subscriber,1971,2
214,54:34.2,58:09.0,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,42220,Subscriber,1986,1
