tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
226,04:50.2,08:37.0,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,29444,Subscriber,1984,2
377,16:01.7,22:19.1,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26305,Subscriber,1989,2
288,17:33.9,22:22.4,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,29268,Customer,1989,1
435,32:05.9,39:21.1,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,29278,Customer,1969,0
231,46:19.7,50:11.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29276,Subscriber,1983,2
437,47:21.1,54:38.7,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,26261,Subscriber,1990,1
438,59:19.6,06:38.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29120,Customer,1969,0
403,59:31.6,06:15.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26182,Customer,1969,0
395,59:34.4,06:10.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,29601,Customer,1969,0
423,59:39.4,06:42.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3638,Washington St,40.7242941,-74.0354826,26268,Customer,1969,0
1227,07:07.6,27:34.8,3186,Grove St PATH,40.71958612,-74.04311746,3280,Astor Place,40.7192822,-74.07126188,29467,Subscriber,1976,1
360,09:20.5,15:21.5,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,29290,Subscriber,1984,1
478,12:29.1,20:28.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,26155,Subscriber,1963,1
446,13:09.7,20:36.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,29673,Subscriber,1964,2
583,15:53.5,25:36.7,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,26250,Customer,1990,2
343,26:49.3,32:32.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458404,-74.04281706,26283,Subscriber,1980,1
198,27:30.3,30:48.3,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29456,Subscriber,1960,1
324,28:29.8,33:54.1,3639,Harborside,40.7192517,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,26219,Customer,1992,1
406,28:40.9,35:27.2,3639,Harborside,40.7192517,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,26301,Subscriber,1993,2
310,33:00.2,38:10.9,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,29629,Subscriber,1977,1
694,33:33.2,45:07.3,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,26161,Subscriber,1988,2
654,34:13.3,45:07.7,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,29673,Customer,1969,0
170,34:18.0,37:08.0,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29654,Subscriber,1994,2
216,58:42.4,02:18.7,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,29677,Subscriber,1958,1
256,02:33.1,06:49.6,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,26215,Subscriber,1987,1
225,03:20.4,07:06.3,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29284,Customer,1969,0
400,18:42.8,25:23.3,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29206,Subscriber,1988,2
137,20:21.0,22:38.5,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,26270,Subscriber,1975,1
659,43:43.2,54:42.4,3195,Sip Ave,40.7308971,-74.06391263,3191,Union St,40.7182113,-74.0836394,29451,Subscriber,1977,1
284,44:31.3,49:15.7,3213,Van Vorst Park,40.71848892,-74.04772663,3270,Jersey & 6th St,40.72528911,-74.04557168,29228,Customer,1993,2
132,56:26.4,58:39.1,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29126,Subscriber,1988,2
117,56:38.4,58:35.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29205,Subscriber,1987,1
1040,58:52.7,16:13.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,29240,Subscriber,1994,2
759,00:37.8,13:16.8,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346383,-74.06285852,26238,Customer,1985,1
145,14:59.4,17:24.8,3640,Journal Square,40.73367,-74.0625,3206,Hilltop,40.7311689,-74.0575736,29531,Subscriber,1991,1
820,15:55.5,29:35.9,3211,Newark Ave,40.72152515,-74.04630454,3268,Lafayette Park,40.71346383,-74.06285852,26431,Subscriber,1989,1
228,17:14.6,21:02.9,3187,Warren St,40.7211236,-74.03805095,3185,City Hall,40.7177325,-74.043845,29551,Subscriber,1988,1
725,35:31.8,47:37.2,3186,Grove St PATH,40.71958612,-74.04311746,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,29299,Subscriber,1988,1
267,38:23.0,42:50.3,3211,Newark Ave,40.72152515,-74.04630454,3278,Monmouth and 6th,40.72568548,-74.04879034,29444,Subscriber,1986,2
173,01:42.6,04:36.4,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,26180,Subscriber,1990,1
179,16:56.7,19:56.6,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,29264,Customer,1989,1
431,24:18.2,31:29.2,3195,Sip Ave,40.7308971,-74.06391263,3210,Pershing Field,40.74267714,-74.05178863,29488,Subscriber,1987,1
466,59:10.2,06:56.3,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29251,Subscriber,1964,1
283,22:22.4,27:06.2,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,29219,Subscriber,1963,2
664,34:00.2,45:04.4,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,29629,Customer,1969,0
353,54:10.3,00:04.3,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,26164,Subscriber,1982,1
549,09:05.7,18:15.0,3194,McGinley Square,40.72533993,-74.06762213,3186,Grove St PATH,40.71958612,-74.04311746,26228,Subscriber,1985,1
288,43:04.5,47:52.7,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,29219,Subscriber,1970,1
254,45:48.8,50:03.8,3206,Hilltop,40.7311689,-74.0575736,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29531,Subscriber,1988,1
1323,49:17.2,11:21.1,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458404,-74.04281706,26179,Subscriber,1984,2
